t,<x^2(t)>
0,0
0.05,0.024385287749643
0.1,0.04758129098202
0.15,0.069646011787471
0.2,0.090634623461009
0.25,0.110599608464298
0.3,0.129590889659141
0.35,0.147655955140643
0.4,0.16483997698218
0.45,0.181185924189113
0.5,0.196734670143683
0.55,0.211525094809757
0.6,0.225594181952987
0.65,0.238977111619492
0.7,0.251707348104295
0.75,0.263816723629493
0.8,0.275335517941389
0.85,0.286292534025637
0.9,0.2967151701297
0.95,0.306629488272749
1,0.316060279414279
