t,<x^2(t)>
0,0
0.05,0.025635548188012
0.1,0.052585459037824
0.15,0.080917121364142
0.2,0.110701379080085
0.25,0.142012708343871
0.3,0.174929403788002
0.35,0.209533774296629
0.4,0.245912348820635
0.45,0.284156092745084
0.5,0.324360635350064
0.55,0.366626508933698
0.6,0.411059400195255
0.65,0.457770414506948
0.7,0.506876353735238
0.75,0.558500008306337
0.8,0.612770464246234
0.85,0.669823425962996
0.9,0.729801555578475
0.95,0.792854829657923
1,0.859140914229523
